 INFO 2022-11-25 11:12:29,759 ht.task.AutoUrgentMaterialCheckNotOCR: start...
 INFO 2022-11-25 11:13:19,102 ht.task.AutoUrgentMaterialCheckNotOCR: 2a vendorrid size:486
 INFO 2022-11-25 11:15:19,706 ht.task.AutoUrgentMaterialCheckNotOCR: IQ5003410659
 INFO 2022-11-25 11:15:19,706 ht.task.AutoUrgentMaterialCheckNotOCR: IQ0090AAH15022016082446
 INFO 2022-11-25 11:15:19,707 ht.task.AutoUrgentMaterialCheckNotOCR: IQ1100
 INFO 2022-11-25 11:16:13,476 ht.task.AutoUrgentMaterialCheckNotOCR: QM5003410556
 INFO 2022-11-25 11:16:13,476 ht.task.AutoUrgentMaterialCheckNotOCR: QM0090AAH40222016107105
 INFO 2022-11-25 11:16:13,476 ht.task.AutoUrgentMaterialCheckNotOCR: QM1100
 INFO 2022-11-25 11:16:32,201 ht.task.AutoUrgentMaterialCheckNotOCR: IQ5003410689
 INFO 2022-11-25 11:16:32,201 ht.task.AutoUrgentMaterialCheckNotOCR: IQ0090AAD09522016110706
 INFO 2022-11-25 11:16:32,201 ht.task.AutoUrgentMaterialCheckNotOCR: IQ1100
 INFO 2022-11-25 11:16:39,862 ht.task.AutoUrgentMaterialCheckNotOCR: IQ5003410688
 INFO 2022-11-25 11:16:39,863 ht.task.AutoUrgentMaterialCheckNotOCR: IQ0090AAD09522016110649
 INFO 2022-11-25 11:16:39,863 ht.task.AutoUrgentMaterialCheckNotOCR: IQ1100
 INFO 2022-11-25 11:17:40,642 ht.task.AutoUrgentMaterialCheckNotOCR: IQ5003410661
 INFO 2022-11-25 11:17:40,642 ht.task.AutoUrgentMaterialCheckNotOCR: IQ0090AAH15022016082453
 INFO 2022-11-25 11:17:40,642 ht.task.AutoUrgentMaterialCheckNotOCR: IQ1100
 INFO 2022-11-25 11:19:03,834 ht.task.AutoUrgentMaterialCheckNotOCR: IQ5003410651
 INFO 2022-11-25 11:19:03,834 ht.task.AutoUrgentMaterialCheckNotOCR: IQ0090AAF01222000074604
 INFO 2022-11-25 11:19:03,834 ht.task.AutoUrgentMaterialCheckNotOCR: IQ1100
 INFO 2022-11-25 11:19:39,578 ht.task.AutoUrgentMaterialCheckNotOCR: IQ5003410658
 INFO 2022-11-25 11:19:39,579 ht.task.AutoUrgentMaterialCheckNotOCR: IQ0090AAH15022015996846
 INFO 2022-11-25 11:19:39,579 ht.task.AutoUrgentMaterialCheckNotOCR: IQ1100
 INFO 2022-11-25 11:19:49,860 ht.task.AutoUrgentMaterialCheckNotOCR: QM5003410671
 INFO 2022-11-25 11:19:49,861 ht.task.AutoUrgentMaterialCheckNotOCR: QM0090AAA21322015996986
